mode,question_id,category,answer_correctness,model_used
mode_1_llm_only,Q001,price_snapshot,0.5395,llama-3.3-70b-versatile
mode_1_llm_only,Q002,price_snapshot,0.5971,llama-3.3-70b-versatile
mode_1_llm_only,Q003,price_snapshot,0.2162,llama-3.3-70b-versatile
mode_1_llm_only,Q004,price_snapshot,0.4734,llama-3.3-70b-versatile
mode_1_llm_only,Q005,price_snapshot,0.2197,llama-3.3-70b-versatile
mode_1_llm_only,Q006,price_snapshot,0.2038,llama-3.3-70b-versatile
mode_1_llm_only,Q007,price_snapshot,0.7618,llama-3.3-70b-versatile
mode_1_llm_only,Q008,price_snapshot,0.4762,llama-3.3-70b-versatile
mode_1_llm_only,Q009,price_snapshot,0.1979,llama-3.3-70b-versatile
mode_1_llm_only,Q010,price_snapshot,0.5189,llama-3.3-70b-versatile
mode_1_llm_only,Q011,fundamental_metric,0.1382,llama-3.3-70b-versatile
mode_1_llm_only,Q012,fundamental_metric,0.1443,llama-3.3-70b-versatile
mode_1_llm_only,Q013,fundamental_metric,0.5266,llama-3.3-70b-versatile
mode_1_llm_only,Q014,fundamental_metric,0.2059,llama-3.3-70b-versatile
mode_1_llm_only,Q015,fundamental_metric,0.5975,llama-3.3-70b-versatile
mode_1_llm_only,Q016,fundamental_metric,0.1667,llama-3.3-70b-versatile
mode_1_llm_only,Q017,fundamental_metric,0.5862,llama-3.3-70b-versatile
mode_1_llm_only,Q018,fundamental_metric,0.1916,llama-3.3-70b-versatile
mode_1_llm_only,Q019,fundamental_metric,0.7974,llama-3.3-70b-versatile
mode_1_llm_only,Q020,fundamental_metric,0.1847,llama-3.3-70b-versatile
mode_1_llm_only,Q021,fundamental_metric,0.7965,llama-3.3-70b-versatile
mode_1_llm_only,Q022,fundamental_metric,0.1979,llama-3.3-70b-versatile
mode_1_llm_only,Q023,fundamental_metric,0.2206,llama-3.3-70b-versatile
mode_1_llm_only,Q024,fundamental_metric,0.7073,llama-3.3-70b-versatile
mode_1_llm_only,Q025,ranking,0.4231,llama-3.3-70b-versatile
mode_1_llm_only,Q026,ranking,0.3701,llama-3.1-8b-instant
mode_1_llm_only,Q027,ranking,0.1748,llama-3.3-70b-versatile
mode_1_llm_only,Q028,ranking,0.3924,llama-3.3-70b-versatile
mode_1_llm_only,Q029,ranking,0.1803,llama-3.3-70b-versatile
mode_1_llm_only,Q030,ranking,0.2031,llama-3.3-70b-versatile
mode_1_llm_only,Q031,ranking,0.1939,llama-3.3-70b-versatile
mode_1_llm_only,Q032,ranking,0.1671,llama-3.3-70b-versatile
mode_1_llm_only,Q033,ranking,0.223,llama-3.3-70b-versatile
mode_1_llm_only,Q034,ranking,0.1773,llama-3.3-70b-versatile
mode_1_llm_only,Q035,price_snapshot,0.5529,llama-3.3-70b-versatile
mode_1_llm_only,Q036,price_snapshot,0.3748,llama-3.1-8b-instant
mode_1_llm_only,Q037,price_snapshot,0.7197,llama-3.1-8b-instant
mode_1_llm_only,Q038,price_snapshot,0.6046,llama-3.1-8b-instant
mode_1_llm_only,Q039,price_snapshot,0.5333,llama-3.1-8b-instant
mode_1_llm_only,Q040,price_snapshot,0.4366,llama-3.1-8b-instant
mode_1_llm_only,Q041,sector_query,0.7667,llama-3.1-8b-instant
mode_1_llm_only,Q042,sector_query,0.4778,llama-3.1-8b-instant
mode_1_llm_only,Q043,sector_query,0.463,llama-3.1-8b-instant
mode_1_llm_only,Q044,sector_query,0.6368,llama-3.1-8b-instant
mode_1_llm_only,Q045,sector_query,0.3935,llama-3.1-8b-instant
mode_1_llm_only,Q046,sector_query,0.396,llama-3.1-8b-instant
mode_1_llm_only,Q047,sector_query,0.6614,llama-3.1-8b-instant
mode_1_llm_only,Q048,sector_query,0.5883,llama-3.1-8b-instant
mode_1_llm_only,Q049,sector_query,0.2874,llama-3.1-8b-instant
mode_1_llm_only,Q050,sector_query,0.6563,llama-3.1-8b-instant
mode_2_rag_only,Q001,price_snapshot,0.5315,llama-3.1-8b-instant
mode_2_rag_only,Q002,price_snapshot,0.4101,llama-3.1-8b-instant
mode_2_rag_only,Q003,price_snapshot,0.4073,llama-3.1-8b-instant
mode_2_rag_only,Q004,price_snapshot,0.6294,llama-3.1-8b-instant
mode_2_rag_only,Q005,price_snapshot,0.6766,gemini-2.5-flash
mode_2_rag_only,Q006,price_snapshot,0.4034,llama-3.1-8b-instant
mode_2_rag_only,Q007,price_snapshot,0.4762,llama-3.1-8b-instant
mode_2_rag_only,Q008,price_snapshot,0.6585,llama-3.1-8b-instant
mode_2_rag_only,Q009,price_snapshot,0.6169,llama-3.1-8b-instant
mode_2_rag_only,Q010,price_snapshot,0.463,llama-3.1-8b-instant
mode_2_rag_only,Q011,fundamental_metric,0.3363,llama-3.1-8b-instant
mode_2_rag_only,Q012,fundamental_metric,0.4796,llama-3.1-8b-instant
mode_2_rag_only,Q013,fundamental_metric,0.5202,llama-3.1-8b-instant
mode_2_rag_only,Q014,fundamental_metric,0.6086,llama-3.1-8b-instant
mode_2_rag_only,Q015,fundamental_metric,0.6179,llama-3.1-8b-instant
mode_2_rag_only,Q016,fundamental_metric,0.0024,llama-3.1-8b-instant
mode_2_rag_only,Q017,fundamental_metric,0.4982,llama-3.1-8b-instant
mode_2_rag_only,Q018,fundamental_metric,0.3869,llama-3.1-8b-instant
mode_2_rag_only,Q019,fundamental_metric,0.6306,llama-3.1-8b-instant
mode_2_rag_only,Q020,fundamental_metric,0.5687,llama-3.1-8b-instant
mode_2_rag_only,Q021,fundamental_metric,0.5134,llama-3.1-8b-instant
mode_2_rag_only,Q022,fundamental_metric,0.4891,llama-3.1-8b-instant
mode_2_rag_only,Q023,fundamental_metric,0.6088,llama-3.1-8b-instant
mode_2_rag_only,Q024,fundamental_metric,0.4632,llama-3.1-8b-instant
mode_2_rag_only,Q025,ranking,0.7403,llama-3.1-8b-instant
mode_2_rag_only,Q026,ranking,0.5314,llama-3.1-8b-instant
mode_2_rag_only,Q027,ranking,0.3023,llama-3.1-8b-instant
mode_2_rag_only,Q028,ranking,0.5919,llama-3.1-8b-instant
mode_2_rag_only,Q029,ranking,0.3693,llama-3.1-8b-instant
mode_2_rag_only,Q030,ranking,0.5684,llama-3.1-8b-instant
mode_2_rag_only,Q031,ranking,0.9036,llama-3.1-8b-instant
mode_2_rag_only,Q032,ranking,0.6046,llama-3.1-8b-instant
mode_2_rag_only,Q033,ranking,0.7783,llama-3.1-8b-instant
mode_2_rag_only,Q034,ranking,0.6227,llama-3.1-8b-instant
mode_2_rag_only,Q035,price_snapshot,0.2702,llama-3.1-8b-instant
mode_2_rag_only,Q036,price_snapshot,0.6367,llama-3.1-8b-instant
mode_2_rag_only,Q037,price_snapshot,0.5257,llama-3.1-8b-instant
mode_2_rag_only,Q038,price_snapshot,0.3468,llama-3.1-8b-instant
mode_2_rag_only,Q039,price_snapshot,0.6605,llama-3.1-8b-instant
mode_2_rag_only,Q040,price_snapshot,0.6181,llama-3.1-8b-instant
mode_2_rag_only,Q041,sector_query,0.3376,llama-3.1-8b-instant
mode_2_rag_only,Q042,sector_query,0.4097,llama-3.1-8b-instant
mode_2_rag_only,Q043,sector_query,0.6529,llama-3.1-8b-instant
mode_2_rag_only,Q044,sector_query,0.4373,llama-3.1-8b-instant
mode_2_rag_only,Q045,sector_query,0.5336,llama-3.1-8b-instant
mode_2_rag_only,Q046,sector_query,0.3427,llama-3.1-8b-instant
mode_2_rag_only,Q047,sector_query,0.623,llama-3.1-8b-instant
mode_2_rag_only,Q048,sector_query,0.6658,llama-3.1-8b-instant
mode_2_rag_only,Q049,sector_query,0.3821,llama-3.1-8b-instant
mode_2_rag_only,Q050,sector_query,0.8744,llama-3.1-8b-instant
mode_3_rag_jc,Q001,price_snapshot,0.4957,llama-3.1-8b-instant
mode_3_rag_jc,Q002,price_snapshot,0.3706,llama-3.1-8b-instant
mode_3_rag_jc,Q003,price_snapshot,0.6549,llama-3.1-8b-instant
mode_3_rag_jc,Q004,price_snapshot,0.946,llama-3.1-8b-instant
mode_3_rag_jc,Q005,price_snapshot,0.6267,gemini-2.5-flash
mode_3_rag_jc,Q006,price_snapshot,0.5211,llama-3.1-8b-instant
mode_3_rag_jc,Q007,price_snapshot,0.7186,llama-3.1-8b-instant
mode_3_rag_jc,Q008,price_snapshot,0.3424,llama-3.1-8b-instant
mode_3_rag_jc,Q009,price_snapshot,0.2285,llama-3.1-8b-instant
mode_3_rag_jc,Q010,price_snapshot,0.6225,llama-3.1-8b-instant
mode_3_rag_jc,Q011,fundamental_metric,0.4321,llama-3.1-8b-instant
mode_3_rag_jc,Q012,fundamental_metric,0.5873,llama-3.1-8b-instant
mode_3_rag_jc,Q013,fundamental_metric,0.4611,llama-3.1-8b-instant
mode_3_rag_jc,Q014,fundamental_metric,0.4154,llama-3.1-8b-instant
mode_3_rag_jc,Q015,fundamental_metric,0.5942,llama-3.1-8b-instant
mode_3_rag_jc,Q016,fundamental_metric,0.5344,llama-3.1-8b-instant
mode_3_rag_jc,Q017,fundamental_metric,0.6904,llama-3.1-8b-instant
mode_3_rag_jc,Q018,fundamental_metric,0.5371,llama-3.1-8b-instant
mode_3_rag_jc,Q019,fundamental_metric,0.6986,llama-3.1-8b-instant
mode_3_rag_jc,Q020,fundamental_metric,0.2872,llama-3.1-8b-instant
mode_3_rag_jc,Q021,fundamental_metric,0.3512,llama-3.1-8b-instant
mode_3_rag_jc,Q022,fundamental_metric,0.3952,llama-3.1-8b-instant
mode_3_rag_jc,Q023,fundamental_metric,0.4335,llama-3.1-8b-instant
mode_3_rag_jc,Q024,fundamental_metric,0.9475,llama-3.1-8b-instant
mode_3_rag_jc,Q025,ranking,0.7837,llama-3.1-8b-instant
mode_3_rag_jc,Q026,ranking,0.4638,llama-3.1-8b-instant
mode_3_rag_jc,Q027,ranking,0.3966,llama-3.1-8b-instant
mode_3_rag_jc,Q028,ranking,0.7043,llama-3.1-8b-instant
mode_3_rag_jc,Q029,ranking,0.4011,llama-3.1-8b-instant
mode_3_rag_jc,Q030,ranking,0.7003,llama-3.1-8b-instant
mode_3_rag_jc,Q031,ranking,0.524,llama-3.1-8b-instant
mode_3_rag_jc,Q032,ranking,0.7012,llama-3.1-8b-instant
mode_3_rag_jc,Q033,ranking,0.5305,llama-3.1-8b-instant
mode_3_rag_jc,Q034,ranking,0.6764,llama-3.1-8b-instant
mode_3_rag_jc,Q035,price_snapshot,0.3717,llama-3.1-8b-instant
mode_3_rag_jc,Q036,price_snapshot,0.6688,llama-3.1-8b-instant
mode_3_rag_jc,Q037,price_snapshot,0.4988,llama-3.1-8b-instant
mode_3_rag_jc,Q038,price_snapshot,0.6222,llama-3.1-8b-instant
mode_3_rag_jc,Q039,price_snapshot,0.5637,llama-3.1-8b-instant
mode_3_rag_jc,Q040,price_snapshot,0.9471,llama-3.1-8b-instant
mode_3_rag_jc,Q041,sector_query,0.3548,llama-3.1-8b-instant
mode_3_rag_jc,Q042,sector_query,0.3714,llama-3.1-8b-instant
mode_3_rag_jc,Q043,sector_query,0.4324,llama-3.1-8b-instant
mode_3_rag_jc,Q044,sector_query,0.4518,llama-3.1-8b-instant
mode_3_rag_jc,Q045,sector_query,0.364,llama-3.1-8b-instant
mode_3_rag_jc,Q046,sector_query,0.5025,llama-3.1-8b-instant
mode_3_rag_jc,Q047,sector_query,0.3439,llama-3.1-8b-instant
mode_3_rag_jc,Q048,sector_query,0.4756,llama-3.1-8b-instant
mode_3_rag_jc,Q049,sector_query,0.2726,llama-3.1-8b-instant
mode_3_rag_jc,Q050,sector_query,0.4722,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q001,price_snapshot,0.4957,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q002,price_snapshot,0.3706,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q003,price_snapshot,0.6549,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q004,price_snapshot,0.6878,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q005,price_snapshot,0.6267,gemini-2.5-flash
mode_4_rag_jc_cache,Q006,price_snapshot,0.5211,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q007,price_snapshot,0.7186,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q008,price_snapshot,0.3424,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q009,price_snapshot,0.2285,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q010,price_snapshot,0.3184,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q011,fundamental_metric,0.4321,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q012,fundamental_metric,0.5873,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q013,fundamental_metric,0.4611,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q014,fundamental_metric,0.4154,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q015,fundamental_metric,0.5942,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q016,fundamental_metric,0.5344,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q017,fundamental_metric,0.5746,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q018,fundamental_metric,0.5371,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q019,fundamental_metric,0.5604,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q020,fundamental_metric,0.2872,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q021,fundamental_metric,0.5615,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q022,fundamental_metric,0.3952,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q023,fundamental_metric,0.4335,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q024,fundamental_metric,0.9475,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q025,ranking,0.7837,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q026,ranking,0.4638,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q027,ranking,0.3935,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q028,ranking,0.7043,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q029,ranking,0.4011,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q030,ranking,0.7147,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q031,ranking,0.524,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q032,ranking,0.5586,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q033,ranking,0.5305,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q034,ranking,0.6764,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q035,price_snapshot,0.3717,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q036,price_snapshot,0.6615,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q037,price_snapshot,0.3915,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q038,price_snapshot,0.6222,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q039,price_snapshot,0.5637,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q040,price_snapshot,0.7022,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q041,sector_query,0.3548,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q042,sector_query,0.5386,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q043,sector_query,0.6588,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q044,sector_query,0.4518,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q045,sector_query,0.364,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q046,sector_query,0.5025,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q047,sector_query,0.3439,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q048,sector_query,0.4756,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q049,sector_query,0.2726,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q050,sector_query,0.4942,llama-3.1-8b-instant
